epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,26311.7,1.05011,0.432,1.01749,0.99004,0.98963,0.99381,0.65429,0.92243,0.35236,0.8053,0.000362607,0.000362607,0.000362607
82,26636.4,1.03567,0.4335,1.0129,0.9911,0.99019,0.99435,0.65555,0.91808,0.32752,0.80355,0.000354368,0.000354368,0.000354368
83,26961,1.03459,0.43004,1.01183,0.99123,0.99094,0.99439,0.65711,0.91361,0.33114,0.80195,0.000346151,0.000346151,0.000346151
84,27285.2,1.02698,0.43205,1.00937,0.98942,0.99046,0.99439,0.65753,0.91298,0.32875,0.80124,0.00033796,0.00033796,0.00033796
85,27609.7,1.029,0.42582,1.01092,0.98832,0.99141,0.99427,0.65766,0.91139,0.33925,0.8003,0.000329797,0.000329797,0.000329797
86,27934.1,1.01515,0.42032,1.00635,0.98838,0.99219,0.99438,0.66094,0.90888,0.33646,0.79968,0.000321667,0.000321667,0.000321667
87,28258.5,1.01255,0.42329,1.00411,0.98829,0.99021,0.99431,0.66262,0.90599,0.34426,0.79827,0.000313573,0.000313573,0.000313573
88,28583.2,1.00448,0.41761,1.00089,0.98839,0.99016,0.99389,0.66236,0.90308,0.34697,0.79764,0.000305519,0.000305519,0.000305519
89,28907.5,1.00345,0.41542,1.00154,0.98864,0.99175,0.99433,0.6627,0.90301,0.3502,0.79789,0.000297508,0.000297508,0.000297508
90,29232.2,1.00283,0.41779,0.99926,0.98773,0.99169,0.99396,0.66277,0.90027,0.34782,0.79708,0.000289543,0.000289543,0.000289543
91,29556.6,0.98321,0.40775,0.99242,0.98833,0.99229,0.99398,0.66375,0.89882,0.36916,0.79649,0.000281629,0.000281629,0.000281629
92,29880.6,0.98679,0.41414,0.99408,0.98786,0.99283,0.99405,0.66425,0.89807,0.36529,0.79598,0.000273769,0.000273769,0.000273769
93,30204.9,0.97954,0.41187,0.98966,0.98773,0.99339,0.99396,0.66542,0.89637,0.36724,0.79543,0.000265965,0.000265965,0.000265965
94,30529.4,0.97416,0.40868,0.98708,0.98822,0.99325,0.99397,0.6662,0.89515,0.35025,0.79472,0.000258223,0.000258223,0.000258223
95,30853.9,0.97591,0.40571,0.98937,0.98811,0.99301,0.99394,0.66608,0.89445,0.35346,0.79413,0.000250544,0.000250544,0.000250544
96,31178.5,0.96483,0.40066,0.98565,0.98859,0.99216,0.99394,0.66785,0.89297,0.35772,0.7935,0.000242932,0.000242932,0.000242932
97,31503.1,0.9635,0.40291,0.98659,0.98851,0.99143,0.9939,0.66822,0.89008,0.36125,0.79242,0.000235391,0.000235391,0.000235391
98,31827.5,0.95908,0.40502,0.98184,0.98911,0.99015,0.9939,0.66986,0.88942,0.36334,0.79239,0.000227924,0.000227924,0.000227924
99,32152.6,0.9508,0.40108,0.98142,0.98911,0.99069,0.99391,0.66983,0.88823,0.35512,0.79215,0.000220535,0.000220535,0.000220535
100,32477.5,0.95403,0.40091,0.98132,0.9895,0.99034,0.99392,0.67129,0.88631,0.34984,0.79157,0.000213226,0.000213226,0.000213226
101,32802.6,0.94135,0.39623,0.97742,0.98922,0.99055,0.99397,0.67212,0.88339,0.35214,0.79044,0.000206,0.000206,0.000206
102,33128.2,0.94587,0.39388,0.97771,0.98929,0.99055,0.99396,0.67239,0.88157,0.35867,0.78984,0.000198861,0.000198861,0.000198861
103,33452.8,0.936,0.39328,0.97081,0.98963,0.99024,0.99398,0.67326,0.88017,0.35648,0.78939,0.000191813,0.000191813,0.000191813
104,33777.5,0.92507,0.38532,0.97168,0.98967,0.9903,0.99398,0.67557,0.87818,0.35408,0.78895,0.000184857,0.000184857,0.000184857
105,34101.9,0.92812,0.39133,0.97153,0.98972,0.9903,0.99402,0.67606,0.87657,0.35312,0.78837,0.000177997,0.000177997,0.000177997
106,34426.1,0.9163,0.38505,0.96492,0.98978,0.99034,0.994,0.67607,0.87517,0.34964,0.78789,0.000171237,0.000171237,0.000171237
107,34750.5,0.91845,0.38778,0.96826,0.99001,0.99021,0.99402,0.67635,0.87368,0.34554,0.78726,0.000164579,0.000164579,0.000164579
