epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,8856.85,1.30296,0.58723,0.98166,0.98176,0.9879,0.99096,0.62759,1.04053,0.41856,0.77773,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,8958.97,1.29391,0.58223,0.97981,0.98261,0.9892,0.99058,0.62726,1.03865,0.4169,0.77695,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,9061.23,1.29083,0.58436,0.9739,0.98283,0.98786,0.99061,0.62857,1.03718,0.41653,0.77647,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,9167.03,1.27917,0.55016,1.0015,0.9832,0.98635,0.9906,0.62936,1.0374,0.42818,0.77616,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,9267.19,1.26635,0.54317,1.00079,0.983,0.98658,0.99055,0.62861,1.03681,0.42322,0.77605,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,9368.8,1.25666,0.53388,0.99553,0.98309,0.9875,0.99049,0.62794,1.03535,0.42078,0.77583,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,9469.85,1.243,0.53812,0.99242,0.98302,0.98745,0.99048,0.62895,1.03389,0.42163,0.7755,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,9572.33,1.23597,0.5262,0.99353,0.98232,0.98814,0.99045,0.62871,1.03323,0.42443,0.77531,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,9673.5,1.22918,0.52239,0.988,0.98222,0.98948,0.99043,0.63066,1.03153,0.42565,0.775,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,9774.22,1.23169,0.5224,0.98982,0.98344,0.98971,0.99035,0.62953,1.03183,0.42582,0.77507,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,9874.57,1.22009,0.5263,0.98464,0.98274,0.98853,0.99025,0.63124,1.03123,0.42439,0.77479,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,9976.33,1.22112,0.51579,0.98453,0.98252,0.98892,0.9902,0.63118,1.03072,0.42152,0.7749,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,10077.4,1.20827,0.51765,0.98087,0.98229,0.98923,0.99032,0.63035,1.03029,0.42125,0.77481,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
