epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,14423.3,0.9928,0.43041,0.99433,0.98984,0.99047,0.99403,0.66641,0.89356,0.31596,0.79777,0.000342211,0.000342211,0.000342211
93,14579.7,0.98848,0.42874,0.99376,0.99104,0.98929,0.99404,0.66723,0.89152,0.31636,0.79725,0.000332457,0.000332457,0.000332457
94,14736.3,0.97645,0.42571,0.98648,0.99027,0.99026,0.99402,0.66936,0.89065,0.31679,0.79696,0.000322778,0.000322778,0.000322778
95,14892.7,0.97288,0.42525,0.98861,0.99055,0.99004,0.99394,0.66979,0.88956,0.31508,0.79677,0.00031318,0.00031318,0.00031318
96,15048.8,0.97124,0.42398,0.98233,0.98902,0.98946,0.9936,0.66884,0.88721,0.31314,0.79645,0.000303665,0.000303665,0.000303665
97,15205.4,0.97237,0.42469,0.98433,0.9865,0.99342,0.99398,0.6689,0.88692,0.31391,0.79646,0.000294239,0.000294239,0.000294239
98,15361.7,0.96716,0.42143,0.9811,0.98939,0.99032,0.99403,0.66928,0.88607,0.31339,0.79613,0.000284906,0.000284906,0.000284906
99,15518.2,0.96152,0.41943,0.98354,0.98951,0.99041,0.99405,0.66947,0.88431,0.31281,0.79555,0.000275668,0.000275668,0.000275668
100,15675,0.95358,0.41691,0.97981,0.98854,0.98849,0.99179,0.66785,0.88399,0.31337,0.79533,0.000266532,0.000266532,0.000266532
101,15831.8,0.94928,0.4166,0.97909,0.98701,0.99039,0.99226,0.66944,0.88203,0.31415,0.79468,0.0002575,0.0002575,0.0002575
102,15988.1,0.94767,0.41035,0.97656,0.98547,0.99259,0.99229,0.66991,0.88158,0.31317,0.79443,0.000248577,0.000248577,0.000248577
103,16144.5,0.93983,0.40932,0.97666,0.98638,0.99321,0.9941,0.66993,0.8805,0.31271,0.79414,0.000239766,0.000239766,0.000239766
104,16301.5,0.94311,0.41372,0.97052,0.98568,0.9925,0.99203,0.66988,0.88,0.31244,0.79394,0.000231071,0.000231071,0.000231071
105,16458.5,0.93477,0.40839,0.97408,0.98577,0.99237,0.992,0.67033,0.87899,0.31156,0.79355,0.000222497,0.000222497,0.000222497
106,16615.3,0.92776,0.40805,0.97016,0.98579,0.99234,0.99198,0.67105,0.87755,0.31204,0.793,0.000214046,0.000214046,0.000214046
107,16771.4,0.93175,0.4096,0.9696,0.98577,0.99219,0.99195,0.6724,0.8771,0.31115,0.79267,0.000205723,0.000205723,0.000205723
108,16928.1,0.92213,0.40715,0.96897,0.98646,0.99268,0.99405,0.67337,0.87685,0.31086,0.79227,0.000197532,0.000197532,0.000197532
109,17085.4,0.91902,0.40747,0.9654,0.98648,0.9927,0.99407,0.67342,0.87572,0.31016,0.79178,0.000189475,0.000189475,0.000189475
110,17241.6,0.92341,0.40659,0.96416,0.98653,0.99265,0.99408,0.6749,0.87436,0.3096,0.79119,0.000181557,0.000181557,0.000181557
111,17398.9,0.91206,0.40784,0.96061,0.98544,0.99121,0.99173,0.67514,0.87362,0.30941,0.79098,0.00017378,0.00017378,0.00017378
112,17556,0.90602,0.39963,0.96024,0.98548,0.99125,0.99173,0.67556,0.87318,0.30952,0.79076,0.000166149,0.000166149,0.000166149
113,17712.8,0.91105,0.39779,0.9623,0.98548,0.99127,0.99172,0.67681,0.87266,0.30893,0.79031,0.000158667,0.000158667,0.000158667
